abGCYPCk294,17.14.11,"Justice League Reactions, Should Disney Buy Netflix - The John Campea Show",John Campea,24,2017-11-11T17:55:27.000Z,43715,1550,109,1031,FALSE
lY_0mkYDZDU,17.14.11,Foster The People - Sit Next to Me (Official Video),fosterthepeopleVEVO,10,2017-11-10T17:00:05.000Z,303956,18603,585,1745,FALSE
k8NxqyGcZA4,17.14.11,Rosie O’Donnell On Donald Trump’s Hostility Toward Her | WWHL,Watch What Happens Live with Andy Cohen,24,2017-11-10T12:59:55.000Z,238643,2429,5381,2325,FALSE
IE-xepGLVt8,17.14.11,Mayo Clinic's first face transplant patient meets donor’s family,Mayo Clinic,28,2017-11-10T12:04:17.000Z,237307,1896,74,260,FALSE
ObIQ0s02UHg,17.14.11,Jason Derulo - Tip Toe feat. French Montana (Official Lyric Video),Jason Derulo,10,2017-11-10T14:40:48.000Z,1282413,37669,1732,1691,FALSE
cOc3tsFWoRs,17.14.11,Jason Momoa & Lisa Bonet: Love at First Sight,The Late Late Show with James Corden,24,2017-11-10T09:35:00.000Z,1497519,15504,353,1084,FALSE
AJYb0Yom5UQ,17.14.11,Howard Stern: George Takei Talks About Harvey Weinstein and Sexually Assault,cocheusadoooo,23,2017-10-17T20:01:44.000Z,148226,355,47,178,FALSE
gLswXiRLdkA,17.14.11,A VERY #EXTRA EBAY SHOPPING HAUL!,Amber Scholl,26,2017-11-11T02:42:23.000Z,484185,23296,1184,1858,FALSE
MyEqfBkzESU,17.14.11,EXTREME GOLDEN TAN TRANSFORMATION,John Maclean,26,2017-11-10T20:40:44.000Z,300617,8133,2693,2911,FALSE
wJYE0sFOteE,17.14.11,Inside the Cheese-Aging Caves 30 Feet Under Brooklyn | I Got a Guy | Bon Appétit,Bon Appétit,26,2017-11-10T16:01:04.000Z,92523,2323,40,134,FALSE
L_5_slz4ke4,17.14.11,Some NFL players call for an end to Thursday night football after 8 players were injured last week,ABC News,25,2017-11-12T20:26:46.000Z,7524,67,19,56,FALSE
OKoL852K9uA,17.14.11,ICE PRIMER? DOES IT WORK?!,mayratouchofglam,26,2017-11-11T05:23:36.000Z,103927,3571,278,399,FALSE
pa_oUisZZy0,17.14.11,Mark Ruffalo Reads Hilarious Thirst Tweets,BuzzFeed Celeb,22,2017-11-11T00:30:16.000Z,177707,6271,88,275,FALSE
fNtLIcyjsnI,17.14.11,"Game Night Official Trailer #1 (2018) Rachel McAdams, Jason Bateman Comedy Movie HD",Zero Media,1,2017-11-13T17:11:32.000Z,1751064,16430,945,1231,FALSE
_Iz83-Cmt6A,17.14.11,Little Big Town with Jimmy Webb - Wichita Lineman (Live from the CMA Awards),CMAVEVO,10,2017-11-09T22:23:51.000Z,46746,439,66,55,FALSE
YlvCVbfS9M0,17.14.11,Alan Walker - All Falls Down (Behind The Scenes),Alan Walker,10,2017-11-11T15:11:18.000Z,746092,34839,537,2541,FALSE
arJ5h2TY3I4,17.14.11,FANTASY (feat. Amber Liu) by SUPERFRUIT,SUPERFRUIT,24,2017-11-10T17:00:51.000Z,836830,82320,1279,7998,FALSE
-2RVw2_QyxQ,17.14.11,2017 Champions Showdown: Day 3,Saint Louis Chess Club,27,2017-11-12T02:39:01.000Z,67429,438,23,23,FALSE
gEHCXl4J9Qo,17.14.11,Taylor Swift - Taylor Swift - �New Year�s Day� Fan Performance,ABC Television Network,24,2017-11-10T02:32:15.000Z,2237404,72593,1830,3501,FALSE
NcUuAj7JOnU,17.14.11,Animal Adventure Park Giraffe Cam,Animal Adventure Park,15,2017-11-12T00:18:43.000Z,45455,2282,35,17,FALSE
b4vTZx_AtHk,17.14.11,How To Dry a Shirt in 30 Seconds,HowToBasic,26,2017-11-09T18:36:48.000Z,2063667,98804,11682,11443,FALSE
kOnQocd799Y,17.14.11,Everything Wrong With Baby Driver In 14 Minutes Or Less,CinemaSins,1,2017-11-09T17:14:11.000Z,2736733,58967,3492,7915,FALSE
e4FApt6z55c,17.14.11,Kimbra - Top of the World (Official Music Video),kimbramusic,10,2017-11-10T15:43:00.000Z,165698,8599,361,930,FALSE
2XK4omx9uMU,17.14.11,Camila Cabello COMPLETELY NAILS 'Finish The Lyric',Capital FM,10,2017-11-10T14:40:32.000Z,836544,40195,373,976,FALSE
xfmipNU4Odc,17.14.11,Edna's registered owner thought she was dead for 2 years!!!,Hope For Paws - Official Rescue Channel,15,2017-11-10T18:02:04.000Z,284666,16396,81,949,FALSE
jp9hK-jY6yY,17.14.11,When Someone Has A Crush on You | Lilly Singh,IISuperwomanII,23,2017-11-09T22:21:13.000Z,3371669,202676,3394,20086,FALSE
